2026-03-09 21:43:26,570 INFO ============================================================
2026-03-09 21:43:26,570 INFO TCR INTERNAL FORMAT -> AIRR FORMAT CONVERSION
2026-03-09 21:43:26,570 INFO Started: 20260309_214326
2026-03-09 21:43:26,570 INFO ============================================================
2026-03-09 21:43:26,570 INFO Input:   /Users/lielcl/Library/CloudStorage/Dropbox/PyCharm/Mal-ID/data_clean/internal_format_clean/TCR
2026-03-09 21:43:26,570 INFO Output:  /Users/lielcl/Library/CloudStorage/Dropbox/PyCharm/Mal-ID/data_clean/airr_format_clean/TCR
2026-03-09 21:43:26,570 INFO Reports: /Users/lielcl/Library/CloudStorage/Dropbox/PyCharm/Mal-ID/data_clean/scripts/reports
2026-03-09 21:43:26,572 INFO 
Found 542 input files

2026-03-09 21:43:26,572 INFO [1/542] BFI-0000234
2026-03-09 22:36:43,810 INFO   85,568 sequences -> part_table_BFI-0003727.bz2
2026-03-09 22:36:52,092 INFO   86,761 sequences -> part_table_BFI-0003728.bz2
2026-03-09 22:36:59,770 INFO   80,899 sequences -> part_table_BFI-0003729.bz2
2026-03-09 22:37:07,237 INFO   78,979 sequences -> part_table_BFI-0003730.bz2
2026-03-09 22:37:15,026 INFO   82,765 sequences -> part_table_BFI-0003731.bz2
2026-03-09 22:37:22,567 INFO   79,607 sequences -> part_table_BFI-0003732.bz2
2026-03-09 22:37:22,567 INFO [200/542] BFI-0003733
2026-03-09 22:37:31,120 INFO   88,507 sequences -> part_table_BFI-0003733.bz2
2026-03-09 22:37:40,075 INFO   92,632 sequences -> part_table_BFI-0003734.bz2
2026-03-09 22:37:48,554 INFO   89,001 sequences -> part_table_BFI-0003735.bz2
2026-03-09 22:37:56,929 INFO   87,341 sequences -> part_table_BFI-0003736.bz2
2026-03-09 22:38:03,142 INFO   65,397 sequences -> part_table_BFI-0003737.bz2
2026-03-09 22:38:10,116 INFO   73,461 sequences -> part_table_BFI-0003738.bz2
2026-03-09 22:38:17,737 INFO   80,069 sequences -> part_table_BFI-0003739.bz2
2026-03-09 22:38:25,640 INFO   82,540 sequences -> part_table_BFI-0003740.bz2
2026-03-09 22:38:32,895 INFO   77,341 sequences -> part_table_BFI-0003741.bz2
2026-03-09 22:38:38,905 INFO   63,432 sequences -> part_table_BFI-0003742.bz2
2026-03-09 22:38:44,265 INFO   53,506 sequences -> part_table_BFI-0003743.bz2
2026-03-09 22:38:52,916 INFO   88,089 sequences -> part_table_BFI-0003745.bz2
2026-03-09 22:38:59,787 INFO   72,605 sequences -> part_table_BFI-0003746.bz2
2026-03-09 22:39:06,101 INFO   65,844 sequences -> part_table_BFI-0003747.bz2
2026-03-09 22:39:14,755 INFO   90,384 sequences -> part_table_BFI-0003748.bz2
2026-03-09 22:39:23,335 INFO   88,004 sequences -> part_table_BFI-0003749.bz2
2026-03-09 22:39:32,028 INFO   88,632 sequences -> part_table_BFI-0003750.bz2
2026-03-09 22:39:38,521 INFO   68,601 sequences -> part_table_BFI-0003751.bz2
2026-03-09 22:39:46,801 INFO   84,954 sequences -> part_table_BFI-0003752.bz2
2026-03-09 22:39:54,575 INFO   80,937 sequences -> part_table_BFI-0003754.bz2
2026-03-09 22:40:01,241 INFO   69,434 sequences -> part_table_BFI-0003755.bz2
2026-03-09 22:40:06,498 INFO   53,650 sequences -> part_table_BFI-0003756.bz2
2026-03-09 22:40:14,369 INFO   81,777 sequences -> part_table_BFI-0003757.bz2
2026-03-09 22:40:22,620 INFO   84,336 sequences -> part_table_BFI-0003758.bz2
2026-03-09 22:40:29,726 INFO   74,632 sequences -> part_table_BFI-0003759.bz2
2026-03-09 22:40:37,984 INFO   84,665 sequences -> part_table_BFI-0003760.bz2
2026-03-09 22:40:45,925 INFO   81,688 sequences -> part_table_BFI-0003761.bz2
2026-03-09 22:40:53,841 INFO   83,431 sequences -> part_table_BFI-0003762.bz2
2026-03-09 22:41:02,107 INFO   86,405 sequences -> part_table_BFI-0003763.bz2
2026-03-09 22:41:10,264 INFO   85,371 sequences -> part_table_BFI-0003764.bz2
2026-03-09 22:41:18,826 INFO   87,212 sequences -> part_table_BFI-0003765.bz2
2026-03-09 22:41:27,587 INFO   90,819 sequences -> part_table_BFI-0003766.bz2
2026-03-09 22:41:35,846 INFO   85,548 sequences -> part_table_BFI-0003767.bz2
2026-03-09 22:41:44,235 INFO   87,864 sequences -> part_table_BFI-0003768.bz2
2026-03-09 22:41:51,929 INFO   81,072 sequences -> part_table_BFI-0003769.bz2
2026-03-09 22:41:59,134 INFO   76,397 sequences -> part_table_BFI-0003770.bz2
2026-03-09 22:42:06,761 INFO   79,547 sequences -> part_table_BFI-0003771.bz2
2026-03-09 22:42:14,787 INFO   85,246 sequences -> part_table_BFI-0003772.bz2
2026-03-09 22:42:29,956 INFO   152,522 sequences -> part_table_BFI-0003773.bz2
2026-03-09 22:42:47,759 INFO   176,435 sequences -> part_table_BFI-0003774.bz2
2026-03-09 22:42:55,869 INFO   82,516 sequences -> part_table_BFI-0003775.bz2
2026-03-09 22:45:53,631 INFO   1,814,474 sequences -> part_table_BFI-0007450.bz2
2026-03-09 22:53:09,465 INFO   4,299,270 sequences -> part_table_BFI-0007453.bz2
2026-03-09 22:58:12,591 INFO   2,994,895 sequences -> part_table_BFI-0007455.bz2
2026-03-09 22:59:28,899 INFO   763,572 sequences -> part_table_BFI-0007480.bz2
2026-03-09 23:00:37,524 INFO   693,452 sequences -> part_table_BFI-0007481.bz2
2026-03-09 23:02:04,877 INFO   867,732 sequences -> part_table_BFI-0007482.bz2
2026-03-09 23:02:56,264 INFO   512,938 sequences -> part_table_BFI-0007483.bz2
2026-03-09 23:04:16,137 INFO   802,467 sequences -> part_table_BFI-0007484.bz2
2026-03-09 23:05:36,307 INFO   811,790 sequences -> part_table_BFI-0007485.bz2
2026-03-09 23:05:36,307 INFO [250/542] BFI-0007486
2026-03-09 23:06:38,517 INFO   639,852 sequences -> part_table_BFI-0007486.bz2
2026-03-09 23:06:42,493 INFO   40,633 sequences -> part_table_BFI-0009005.bz2
2026-03-09 23:06:46,807 INFO   44,314 sequences -> part_table_BFI-0009012.bz2
2026-03-09 23:06:50,727 INFO   40,537 sequences -> part_table_BFI-0009025.bz2
2026-03-09 23:06:54,680 INFO   41,362 sequences -> part_table_BFI-0009035.bz2
2026-03-09 23:07:06,798 INFO   123,107 sequences -> part_table_BFI-0009036.bz2
2026-03-09 23:07:10,700 INFO   40,884 sequences -> part_table_BFI-0009047.bz2
2026-03-09 23:07:18,329 INFO   79,746 sequences -> part_table_BFI-0009048.bz2
2026-03-09 23:07:30,496 INFO   124,809 sequences -> part_table_BFI-0009051.bz2
